x,y
Corona1_1.jpg,1
Corona1_10.jpg,1
Corona1_11.jpg,1
Corona1_12.jpg,1
Corona1_13.jpg,1
Corona1_14.jpg,1
Corona1_15.jpg,1
Corona1_16.jpg,1
Corona1_17.jpg,1
Corona1_18.jpg,1
Corona1_19.jpg,1
Corona1_2.jpg,1
Corona1_20.jpg,1
Corona1_21.jpg,1
Corona1_22.jpg,1
Corona1_23.jpg,1
Corona1_24.jpg,1
Corona1_25.jpg,1
Corona1_26.jpg,1
Corona1_27.jpg,1
Corona1_28.jpg,1
Corona1_29.jpg,1
Corona1_3.jpg,1
Corona1_30.jpg,1
Corona1_31.jpg,1
Corona1_32.jpg,1
Corona1_33.jpg,1
Corona1_34.jpg,1
Corona1_35.jpg,1
Corona1_36.jpg,1
Corona1_37.jpg,1
Corona1_38.jpg,1
Corona1_39.jpg,1
Corona1_4.jpg,1
Corona1_40.jpg,1
Corona1_41.jpg,1
Corona1_42.jpg,1
Corona1_43.jpg,1
Corona1_44.jpg,1
Corona1_45.jpg,1
Corona1_46.jpg,1
Corona1_47.jpg,1
Corona1_48.jpg,1
Corona1_49.jpg,1
Corona1_5.jpg,1
Corona1_50.jpg,1
Corona1_51.jpg,1
Corona1_52.jpg,1
Corona1_53.jpg,1
Corona1_54.jpg,1
Corona1_55.jpg,1
Corona1_56.jpg,1
Corona1_57.jpg,1
Corona1_58.jpg,1
Corona1_59.jpg,1
Corona1_6.jpg,1
Corona1_60.jpg,1
Corona1_61.jpg,1
Corona1_62.jpg,1
Corona1_63.jpg,1
Corona1_64.jpg,1
Corona1_65.jpg,1
Corona1_66.jpg,1
Corona1_67.jpg,1
Corona1_68.jpg,1
Corona1_69.jpg,1
Corona1_7.jpg,1
Corona1_70.jpg,1
Corona1_71.jpg,1
Corona1_72.jpg,1
Corona1_73.jpg,1
Corona1_74.jpg,1
Corona1_75.jpg,1
Corona1_76.jpg,1
Corona1_77.jpg,1
Corona1_78.jpg,1
Corona1_79.jpg,1
Corona1_8.jpg,1
Corona1_80.jpg,1
Corona1_9.jpg,1
Corona2_1.jpg,1
Corona2_10.jpg,1
Corona2_11.jpg,1
Corona2_12.jpg,1
Corona2_13.jpg,1
Corona2_14.jpg,1
Corona2_15.jpg,1
Corona2_16.jpg,1
Corona2_17.jpg,1
Corona2_18.jpg,1
Corona2_19.jpg,1
Corona2_2.jpg,1
Corona2_20.jpg,1
Corona2_21.jpg,1
Corona2_22.jpg,1
Corona2_23.jpg,1
Corona2_24.jpg,1
Corona2_25.jpg,1
Corona2_26.jpg,1
Corona2_27.jpg,1
Corona2_28.jpg,1
Corona2_29.jpg,1
Corona2_3.jpg,1
Corona2_30.jpg,1
Corona2_31.jpg,1
Corona2_32.jpg,1
Corona2_33.jpg,1
Corona2_34.jpg,1
Corona2_35.jpg,1
Corona2_36.jpg,1
Corona2_37.jpg,1
Corona2_38.jpg,1
Corona2_39.jpg,1
Corona2_4.jpg,1
Corona2_40.jpg,1
Corona2_41.jpg,1
Corona2_42.jpg,1
Corona2_43.jpg,1
Corona2_44.jpg,1
Corona2_45.jpg,1
Corona2_5.jpg,1
Corona2_6.jpg,1
Corona2_7.jpg,1
Corona2_8.jpg,1
Corona2_9.jpg,1
Corona3_1.jpg,1
Corona3_10.jpg,1
Corona3_11.jpg,1
Corona3_12.jpg,1
Corona3_13.jpg,1
Corona3_14.jpg,1
Corona3_15.jpg,1
Corona3_2.jpg,1
Corona3_3.jpg,1
Corona3_4.jpg,1
Corona3_5.jpg,1
Corona3_6.jpg,1
Corona3_7.jpg,1
Corona3_8.jpg,1
Corona3_9.jpg,1
Non_Corona1_1.jpg,0
Non_Corona1_10.jpg,0
Non_Corona1_100.jpg,0
Non_Corona1_101.jpg,0
Non_Corona1_102.jpg,0
Non_Corona1_103.jpg,0
Non_Corona1_104.jpg,0
Non_Corona1_105.jpg,0
Non_Corona1_106.jpg,0
Non_Corona1_107.jpg,0
Non_Corona1_108.jpg,0
Non_Corona1_109.jpg,0
Non_Corona1_11.jpg,0
Non_Corona1_110.jpg,0
Non_Corona1_111.jpg,0
Non_Corona1_112.jpg,0
Non_Corona1_113.jpg,0
Non_Corona1_114.jpg,0
Non_Corona1_115.jpg,0
Non_Corona1_116.jpg,0
Non_Corona1_117.jpg,0
Non_Corona1_118.jpg,0
Non_Corona1_119.jpg,0
Non_Corona1_12.jpg,0
Non_Corona1_120.jpg,0
Non_Corona1_121.jpg,0
Non_Corona1_122.jpg,0
Non_Corona1_123.jpg,0
Non_Corona1_124.jpg,0
Non_Corona1_125.jpg,0
Non_Corona1_126.jpg,0
Non_Corona1_127.jpg,0
Non_Corona1_128.jpg,0
Non_Corona1_129.jpg,0
Non_Corona1_13.jpg,0
Non_Corona1_130.jpg,0
Non_Corona1_131.jpg,0
Non_Corona1_132.jpg,0
Non_Corona1_133.jpg,0
Non_Corona1_134.jpg,0
Non_Corona1_135.jpg,0
Non_Corona1_136.jpg,0
Non_Corona1_137.jpg,0
Non_Corona1_138.jpg,0
Non_Corona1_139.jpg,0
Non_Corona1_14.jpg,0
Non_Corona1_140.jpg,0
Non_Corona1_15.jpg,0
Non_Corona1_16.jpg,0
Non_Corona1_17.jpg,0
Non_Corona1_18.jpg,0
Non_Corona1_19.jpg,0
Non_Corona1_2.jpg,0
Non_Corona1_20.jpg,0
Non_Corona1_21.jpg,0
Non_Corona1_22.jpg,0
Non_Corona1_23.jpg,0
Non_Corona1_24.jpg,0
Non_Corona1_25.jpg,0
Non_Corona1_26.jpg,0
Non_Corona1_27.jpg,0
Non_Corona1_28.jpg,0
Non_Corona1_29.jpg,0
Non_Corona1_3.jpg,0
Non_Corona1_30.jpg,0
Non_Corona1_31.jpg,0
Non_Corona1_32.jpg,0
Non_Corona1_33.jpg,0
Non_Corona1_34.jpg,0
Non_Corona1_35.jpg,0
Non_Corona1_36.jpg,0
Non_Corona1_37.jpg,0
Non_Corona1_38.jpg,0
Non_Corona1_39.jpg,0
Non_Corona1_4.jpg,0
Non_Corona1_40.jpg,0
Non_Corona1_41.jpg,0
Non_Corona1_42.jpg,0
Non_Corona1_43.jpg,0
Non_Corona1_44.jpg,0
Non_Corona1_45.jpg,0
Non_Corona1_46.jpg,0
Non_Corona1_47.jpg,0
Non_Corona1_48.jpg,0
Non_Corona1_49.jpg,0
Non_Corona1_5.jpg,0
Non_Corona1_50.jpg,0
Non_Corona1_51.jpg,0
Non_Corona1_52.jpg,0
Non_Corona1_53.jpg,0
Non_Corona1_54.jpg,0
Non_Corona1_55.jpg,0
Non_Corona1_56.jpg,0
Non_Corona1_57.jpg,0
Non_Corona1_58.jpg,0
Non_Corona1_59.jpg,0
Non_Corona1_6.jpg,0
Non_Corona1_60.jpg,0
Non_Corona1_61.jpg,0
Non_Corona1_62.jpg,0
Non_Corona1_63.jpg,0
Non_Corona1_64.jpg,0
Non_Corona1_65.jpg,0
Non_Corona1_66.jpg,0
Non_Corona1_67.jpg,0
Non_Corona1_68.jpg,0
Non_Corona1_69.jpg,0
Non_Corona1_7.jpg,0
Non_Corona1_70.jpg,0
Non_Corona1_71.jpg,0
Non_Corona1_72.jpg,0
Non_Corona1_73.jpg,0
Non_Corona1_74.jpg,0
Non_Corona1_75.jpg,0
Non_Corona1_76.jpg,0
Non_Corona1_77.jpg,0
Non_Corona1_78.jpg,0
Non_Corona1_79.jpg,0
Non_Corona1_8.jpg,0
Non_Corona1_80.jpg,0
Non_Corona1_81.jpg,0
Non_Corona1_82.jpg,0
Non_Corona1_83.jpg,0
Non_Corona1_84.jpg,0
Non_Corona1_85.jpg,0
Non_Corona1_86.jpg,0
Non_Corona1_87.jpg,0
Non_Corona1_88.jpg,0
Non_Corona1_89.jpg,0
Non_Corona1_9.jpg,0
Non_Corona1_90.jpg,0
Non_Corona1_91.jpg,0
Non_Corona1_92.jpg,0
Non_Corona1_93.jpg,0
Non_Corona1_94.jpg,0
Non_Corona1_95.jpg,0
Non_Corona1_96.jpg,0
Non_Corona1_97.jpg,0
Non_Corona1_98.jpg,0
Non_Corona1_99.jpg,0
